Название,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Брускетта со страчателлой,,,,
Ассорти тапас,,,,
Круассан «Скандинавия»,,,,
Панини бургер с говяжьей котлетой,,,,
Круассан с ветчиной и сыром,,,,
Круассан «Дабл чиз»,,,,
"Бейгл с жареным беконом, свежим салатом и
  томатами",,,,
Ролл «Цезарь»,,,,
Бейгл с ветчиной и сыром,,,,
Горячие бутерброды с ветчиной и сыром,,,,
Горячие бутерброды с сыром,,,,
Паштет куриный с луковым конфитюром,,,,
Сэндвич «Пепперони»,,,,
Сэндвич с ветчиной и сыром,,,,
Сэндвич «Цезарь»,,,,
Круассан «Пепперони»,,,,
Брускетта с креветками и авокадо,,,,
Куриный суп,,,,
Борщ с говядиной,,,,
Гороховый суп с копченостями,,,,
Тыквенный крем-суп,,,,
Крем-суп с шампиньонами,,,,
Куриный бульон с яйцом,,,,
Том ям с креветками,,,,
Пицца «Маргарита»,,,,
Пицца «Пепперони»,,,,
Пицца «Четыре сыра»,,,,
Пицца «Ветчина и грибы»,,,,
Пицца «Курица и грибы»,,,,
Пицца «Карбонара»,,,,
Пицца «Жюльен»,,,,
Имбирный пряник,,,,
Морковный торт с амарантом,,,,
Торт «Опера»,,,,
«Медовик»,,,,
«Сникерс»,,,,
Торт «Кристалл»,,,,
«Шоколадный десерт»,,,,
Круассан классический,,,,
Круассан с вишневым вареньем и крем-чиз,,,,
«Наполеон»,,,,
Яблочный пирог,,,,
Миндальный круассан,,,,
Круассан с нутеллой,,,,
Торт «Москва»,,,,
«Манго»,,,,
«Тирамису»,,,,
Чизкейк «Нью-Йорк»,,,,
Фисташковый рулет с малиной,,,,
Кофейный чизкейк,,,,
Тарталетка с клубникой,,,,
Панна-котта,,,,
Пирожное «Тутти-фрутти»,,,,
Флэт-круассан с шоколадом,,,,
Гриль-круассан с ветчиной и сыром,,,,
Пита «Том ям» с куриной грудкой и креветками,,,,
Клюквенный морс,,,,
Ferrero Rocher,,,,
Флэт-круассан с малиной,,,,
Флэт-круассан с фисташкой,,,,
Маффин в ассортименте,,,,
Печенье шоколадное,,,,
Печенье злаковое,,,,
Kinder Сюрприз,,,,
Kinder Bueno,,,,
Raffaello,,,,
Tic Tac,,,,
Набор пирожных классика,,,,
Омлет с куриными мини-сосисками,,,,
"Оладьи с бананом, клубникой и сгущенным
  молоком",,,,
"Блинчики с нутеллой, бананом и свежей
  клубникой",,,,
"Сырники с яблочной начинкой и свежими
  ягодами",,,,
"Блинчики с творогом, свежими ягодами и
  шоколадным соусом",,,,
Куриный супчик,,,,
Мини-пельмешки,,,,
Наггетсы,,,,
Шницель с овощными палочками,,,,
Детский бургер,,,,
Спагетти с куриными мини-сосисками,,,,
Куриные котлеты с овощными палочками,,,,
Овощной салат,,,,
Лимонад ягодный,,,,
Фреш в ассортименте,,,,
Орехи смесь ореховая,10,,12,
Смузи боул,,,,
Котлета из индейки,21,11,200,2
Колбаска свиная новая,,,,
Плов из курицы,,,,
Охотничьи котелты,,,,
Сарделька,,,,
Хинкали,,,,
Котлета куриная,,,,
Вок,,,,
Котлета по-киевски,,,,
Сырники,,,,
Блинчики с мясом,,,,
Ролл с курицей / цезарь,,,,
Хот дог,,,,
Шаурма с курицей,,,,
Шаурма с говядиной Delux,,,,
Оливье,,,,
Вафля бельгийская 2шт,,,,
Блинный торт с карамелью,,,,
Медовик,,,,
Тарталетка орехи-карамель,,,,
Тарталетка с голубикой,,,,
Тирамису,,,,
Яблочный пирог,,,,
Донат в ассортименте,,,,
Арахис,,,,
Миндаль,,,,
Фисташки,,,,
Колбаска говяжая,,,,
Маковый штрулель,,,,
Манты с бараниной,,,,
Куриная печень с картофелем,14,19,262,9
Тигровые креветки с чесноком и петрушкой,,,,
Гребешки с чесноком и петрушкой,16,34,382,5
Сырники из Рикотты со сметаной и вареньем,8,14,244,20
Пирог со свежей клебникой,,,,
Чизкейк Сан-Себастьян,5,24,307,18
Биг Хит 228гр,11.8,12.3,230,17.5
Чикен Премьер 234гр,11.1,13.7,255,21.4
Фиш Бургер 133гр,11.3,10.5,249,27.1
Малиновый мусс 100гр,2,13,229,25
Стрипсы 3шт,14,10,223,19
Пирожок вишеневый 80гр,3,15,363,53.8
Салат Цезарь 156гр,9.6,7.1,148,10.9
Нагетцы 9шт,15.3,12.6,249,16.7
Борщ с пастрами из говядины и копченой грушей,,,,
Крем-суп из спаржи,,,,
Морской еж,,,,
Устрица,,,,
Медовый сбитень,,,,
Морковный пирог кекс с грецким орехом и изюмом,3.5,15,320,33
Осьминог,31,10,230,3
Рыба Филе тунца обжаренное на гриле с соте из зеленых овощей,,,,
Запеканка на топленом твороге с изюмом,,,,
"Тартар из копченого угря, огурца и страчателлы ",10,9.5,190,16
Батат фри с пармезаном,5.5,13,330,48
Сметанник с хурмой,4.5,19,330,35
"Куриная грудка, брокколи и соус из петрушки",12,6,110,2
Ризотто с крабом,2,5,130,19
"Краб с запеченным баклажаном, йогуртом и соусом черный перец",,,,
Салат Цезарь с креветками и жареным сыром халуми,,,,
"Салат Цыпленок гриль, кускус, томаты, шпинат",,,,
Рыба Филе дорадо с орзо и песто,,,,
"Рыба  Треска, картофельное пюре, яйцо пашот ",,,,
Закуска Мясные деликатесы,,,,
